date,tmin,tmax
2018-07-21,24.0,32.0
2018-07-22,23.0,31.0
2018-07-23,23.0,31.0
2018-07-24,19.0,32.0
2018-07-25,22.0,30.0
2018-07-26,20.0,30.5
2018-07-27,19.0,32.7
2018-07-28,20.0,31.0
2018-07-29,18.0,36.0
2018-07-30,17.0,31.0
2018-07-31,17.0,31.0
2018-08-01,17.0,32.1
2018-08-02,20.0,32.0
2018-08-03,21.0,31.2
2018-08-04,22.0,32.0
2018-08-05,22.0,33.0
2018-08-06,22.0,33.6
2018-08-07,21.0,34.0
2018-08-08,19.0,35.0
2018-08-09,19.7,33.5
2018-08-10,22.0,33.0
2018-08-11,24.0,34.0
2018-08-12,22.0,35.0
2018-08-13,20.0,36.0
2018-08-14,22.0,33.0
2018-08-15,20.0,31.0
2018-08-16,19.0,31.1
2018-08-17,20.0,31.0
2018-08-18,21.0,31.0
2018-08-19,21.0,31.0
2018-08-20,19.0,31.0
2018-08-21,19.0,31.0
2018-08-22,19.0,31.0
2018-08-23,19.0,32.0
2018-08-24,19.0,31.2
2018-08-25,18.0,36.7
2018-08-26,19.0,33.0
2018-08-27,18.0,32.1
2018-08-28,18.0,33.1
2018-08-29,18.7,33.0
2018-08-30,21.7,30.1
2018-08-31,19.7,33.1
2018-09-01,20.0,32.2
2018-09-02,20.0,33.0
2018-09-03,19.0,36.2
2018-09-04,23.0,32.0
2018-09-05,24.0,31.0
2018-09-06,21.0,31.0
2018-09-07,23.6,29.0
2018-09-08,21.0,30.0
2018-09-09,24.0,30.0
2018-09-10,23.0,30.0
2018-09-11,22.0,32.0
2018-09-12,23.0,30.0
2018-09-13,21.8,28.2
2018-09-14,20.5,30.0
2018-09-15,20.5,30.0
2018-09-16,20.3,31.6
2018-09-17,22.0,33.0
2018-09-18,19.0,33.4
2018-09-19,19.8,31.0
2018-09-20,22.0,28.4
2018-09-21,17.6,29.2
2018-09-22,16.3,31.0
2018-09-23,17.0,32.0
2018-09-24,16.0,31.4
2018-09-25,16.7,29.2
2018-09-26,16.4,28.0
2018-09-27,17.0,27.5
2018-09-28,13.0,26.5
2018-09-29,11.0,26.0
2018-09-30,12.0,28.5
2018-10-01,17.3,27.0
2018-10-02,16.0,24.2
2018-10-03,15.3,24.4
2018-10-04,15.0,25.0
2018-10-05,15.4,26.0
2018-10-06,12.6,27.4
2018-10-07,13.0,30.0
2018-10-08,17.4,24.1
2018-10-09,14.9,26.6
2018-10-10,18.0,29.9
2018-10-11,16.7,30.0
2018-10-12,17.0,28.1
2018-10-13,14.4,28.6
2018-10-14,14.4,32.9
2018-10-15,16.7,26.0
2018-10-16,12.9,24.0
2018-10-17,16.4,22.5
2018-10-18,17.5,23.0
2018-10-19,17.0,25.0
2018-10-20,16.6,27.7
2018-10-21,13.8,28.4
2018-10-22,16.5,25.2
2018-10-23,15.0,23.6
2018-10-24,13.7,23.5
2018-10-25,9.2,24.7
2018-10-26,10.0,30.0
2018-10-27,16.0,25.0
2018-10-28,12.0,19.0
2018-10-29,8.0,15.0
2018-10-30,10.7,21.0
2018-10-31,10.0,20.2
2018-11-01,10.0,21.5
2018-11-02,12.6,19.0
2018-11-03,12.7,18.2
2018-11-04,10.0,20.0
2018-11-05,6.7,25.0
2018-11-06,11.0,20.2
2018-11-07,6.0,23.0
2018-11-08,6.7,24.0
2018-11-09,12.0,18.0
2018-11-10,11.0,20.0
2018-11-11,8.0,23.6
2018-11-12,19.5,26.0
2018-11-13,16.0,24.1
2018-11-14,13.0,24.0
2018-11-15,15.0,23.5
2018-11-16,12.0,22.1
2018-11-17,9.7,19.7
2018-11-18,10.0,21.5
2018-11-19,15.0,21.0
2018-11-20,12.6,21.0
2018-11-21,10.0,23.0
2018-11-22,9.1,25.0
2018-11-23,14.0,25.0
2018-11-24,13.0,16.0
2018-11-25,10.0,20.0
2018-11-26,13.0,20.0
2018-11-27,9.0,18.0
2018-11-28,5.0,20.0
2018-11-29,3.0,21.0
2018-11-30,4.0,21.0
2018-12-01,8.7,17.0
2018-12-02,7.5,19.0
2018-12-03,6.5,23.0
2018-12-04,6.6,24.0
2018-12-05,6.0,25.0
2018-12-06,7.2,20.2
2018-12-07,9.0,18.6
2018-12-08,9.0,17.6
2018-12-09,5.0,20.0
2018-12-10,5.0,19.0
2018-12-11,4.0,18.0
2018-12-12,6.0,19.0
2018-12-13,6.1,19.0
2018-12-14,9.0,15.0
2018-12-15,8.0,16.2
2018-12-16,6.5,24.0
2018-12-17,7.0,18.0
2018-12-18,2.0,20.5
2018-12-19,4.0,19.0
2018-12-20,8.7,18.2
2018-12-21,7.0,18.2
2018-12-22,3.7,20.0
2018-12-23,3.0,21.0
2018-12-24,3.2,21.0
2018-12-25,3.0,19.0
2018-12-26,4.7,18.0
2018-12-27,3.0,17.0
2018-12-28,11.0,17.0
2018-12-29,6.0,17.0
2018-12-30,4.5,16.2
2018-12-31,5.0,16.2
2019-01-01,5.0,17.0
2019-01-02,3.5,18.0
2019-01-03,6.0,15.0
2019-01-04,4.0,15.0
2019-01-05,4.6,15.2
2019-01-06,1.7,18.0
2019-01-07,2.0,17.0
2019-01-08,0.0,15.0
2019-01-09,3.0,16.0
2019-01-10,6.0,11.0
2019-01-11,5.0,10.0
2019-01-12,5.0,13.0
2019-01-13,2.0,15.1
2019-01-14,1.0,17.1
2019-01-15,1.0,17.0
2019-01-16,1.0,18.0
2019-01-17,3.0,17.0
2019-01-18,7.0,14.5
2019-01-19,5.0,15.0
2019-01-20,3.0,13.0
2019-01-21,7.0,12.1
2019-01-22,6.0,12.7
2019-01-23,7.7,15.0
2019-01-24,6.0,14.5
2019-01-25,4.7,14.6
2019-01-26,6.0,18.0
2019-01-27,4.0,20.1
2019-01-28,9.0,16.1
2019-01-29,9.0,16.0
2019-01-30,9.0,16.0
2019-01-31,7.0,19.0
2019-02-01,13.0,22.0
2019-02-02,10.0,14.0
2019-02-03,6.0,12.0
2019-02-04,5.0,13.0
2019-02-05,3.0,15.0
2019-02-06,3.0,18.0
2019-02-07,4.0,20.2
2019-02-08,4.0,19.0
2019-02-09,4.0,20.0
2019-02-10,4.5,21.0
2019-02-11,9.0,16.6
2019-02-12,7.0,15.5
2019-02-13,2.9,17.0
2019-02-14,1.0,22.0
2019-02-15,1.0,21.0
2019-02-16,1.0,18.1
2019-02-17,4.6,22.0
2019-02-18,6.0,22.0
2019-02-19,3.6,20.0
2019-02-20,3.0,18.0
2019-02-21,2.7,15.0
2019-02-22,3.0,16.1
2019-02-23,2.1,18.2
2019-02-24,6.0,16.1
2019-02-25,4.0,15.5
2019-02-26,4.0,17.0
2019-02-27,2.5,17.0
2019-02-28,1.0,19.0
2019-03-01,1.5,21.7
2019-03-02,4.7,20.0
2019-03-03,5.0,20.1
2019-03-04,3.7,24.2
2019-03-05,5.0,21.0
2019-03-06,5.7,30.0
2019-03-07,13.0,20.0
2019-03-08,12.0,16.0
2019-03-09,10.0,19.0
2019-03-10,8.0,18.0
2019-03-11,6.0,19.0
2019-03-12,3.7,21.0
2019-03-13,6.9,23.1
2019-03-14,7.5,17.2
2019-03-15,2.0,20.1
2019-03-16,3.6,24.7
2019-03-17,6.7,25.0
2019-03-18,6.7,17.7
2019-03-19,5.0,16.0
2019-03-20,8.0,13.0
2019-03-21,8.0,15.0
2019-03-22,11.0,15.5
2019-03-23,9.0,18.0
2019-03-24,6.0,22.6
2019-03-25,9.0,22.5
2019-03-26,8.0,26.0
2019-03-27,3.2,17.0
2019-03-28,7.0,17.0
2019-03-29,4.0,18.2
2019-03-30,7.7,22.0
2019-03-31,16.0,21.0
2019-04-01,13.0,18.7
2019-04-02,11.2,21.0
2019-04-03,10.0,23.2
2019-04-04,9.7,19.2
2019-04-05,9.7,19.0
2019-04-06,10.0,18.1
2019-04-07,9.0,16.5
2019-04-08,6.0,21.0
2019-04-09,9.0,20.2
2019-04-10,10.0,19.7
2019-04-11,8.0,18.7
2019-04-12,6.0,20.0
2019-04-13,6.0,21.0
2019-04-14,5.0,25.0
2019-04-15,7.0,25.0
2019-04-16,13.0,22.2
2019-04-17,9.0,23.0
2019-04-18,17.0,25.1
2019-04-19,12.5,19.0
2019-04-20,14.0,17.0
2019-04-21,13.0,18.0
2019-04-22,14.0,19.0
2019-04-23,11.0,26.0
2019-04-24,12.0,21.0
2019-04-25,10.0,24.5
2019-04-26,11.0,21.1
2019-04-27,7.0,21.0
2019-04-28,6.0,23.0
2019-04-29,7.0,22.0
2019-04-30,8.0,21.1
2019-05-01,7.0,24.2
2019-05-02,11.0,25.0
2019-05-03,16.0,20.0
2019-05-04,11.0,19.6
2019-05-05,7.0,21.0
2019-05-06,9.0,23.0
2019-05-07,9.0,26.0
2019-05-08,11.0,29.0
2019-05-09,14.0,27.1
2019-05-10,13.0,27.0
2019-05-11,14.2,28.0
2019-05-12,14.0,23.0
2019-05-13,9.0,22.0
2019-05-14,8.0,22.0
2019-05-15,8.0,27.5
2019-05-16,10.0,25.0
2019-05-17,13.0,26.7
2019-05-18,13.0,24.0
2019-05-19,11.0,23.0
2019-05-20,9.0,25.5
2019-05-21,12.0,26.0
2019-05-22,13.0,25.0
2019-05-23,11.0,27.2
2019-05-24,10.0,28.0
2019-05-25,15.0,23.0
2019-05-26,15.5,22.0
2019-05-27,12.0,26.5
2019-05-28,12.6,30.0
2019-05-29,15.0,24.0
2019-05-30,10.0,24.0
2019-05-31,11.0,24.0
2019-06-01,10.0,26.0
2019-06-02,11.7,28.0
2019-06-03,13.0,26.0
2019-06-04,14.0,27.0
2019-06-05,15.2,31.0
2019-06-06,15.0,26.2
2019-06-07,17.0,28.5
2019-06-08,17.0,38.2
2019-06-09,18.0,26.0
2019-06-10,15.0,26.0
2019-06-11,14.0,27.0
2019-06-12,13.0,27.0
2019-06-13,16.0,29.2
2019-06-14,20.0,29.0
2019-06-15,17.0,28.0
2019-06-16,16.0,27.0
2019-06-17,20.0,27.0
2019-06-18,16.0,29.1
2019-06-19,19.7,29.0
2019-06-20,19.0,29.0
2019-06-21,18.0,29.0
2019-06-22,18.7,28.0
2019-06-23,18.0,29.0
2019-06-24,21.2,29.0
2019-06-25,18.0,29.0
2019-06-26,19.0,29.5
2019-06-27,18.0,30.0
2019-06-28,17.0,34.0
2019-06-29,20.0,36.6
2019-06-30,19.0,33.0
2019-07-01,21.0,30.0
2019-07-02,21.0,29.0
2019-07-03,20.0,30.0
2019-07-04,22.7,34.0
2019-07-05,24.0,34.5
2019-07-06,23.5,38.0
2019-07-07,27.0,42.0
2019-07-08,23.0,42.0
2019-07-09,20.0,33.1
2019-07-10,21.0,31.0
2019-07-11,21.0,31.0
2019-07-12,18.0,33.0
2019-07-13,20.5,34.0
2019-07-14,21.0,34.0
2019-07-15,19.0,32.0
2019-07-16,20.0,32.1
2019-07-17,19.0,34.1
2019-07-18,23.0,31.0
2019-07-19,19.0,34.0
2019-07-20,24.0,37.7
2019-07-21,21.0,34.0
2019-07-22,20.0,34.0
2019-07-23,20.0,37.1
2019-07-24,19.2,34.0
2019-07-25,20.0,34.0
2019-07-26,22.9,31.2
2019-07-27,20.0,35.0
2019-07-28,19.5,31.0
2019-07-29,19.7,33.0
2019-07-30,22.0,31.0
2019-07-31,24.0,33.1
2019-08-01,27.7,38.1
2019-08-02,25.0,33.0
2019-08-03,24.7,32.0
2019-08-04,25.2,32.0
2019-08-05,24.0,32.0
2019-08-06,25.0,34.2
2019-08-07,25.0,38.0
2019-08-08,25.0,36.0
2019-08-09,21.0,38.1
2019-08-10,22.7,39.7
2019-08-11,24.0,34.0
2019-08-12,23.0,36.0
2019-08-13,24.0,32.0
2019-08-14,21.0,31.2
2019-08-15,16.0,33.0
2019-08-16,17.0,33.0
2019-08-17,19.0,36.0
2019-08-18,22.0,36.6
2019-08-19,23.5,32.0
2019-08-20,20.0,32.0
2019-08-21,25.7,31.0
2019-08-22,23.0,30.0
2019-08-23,17.0,30.5
2019-08-24,20.6,30.0
2019-08-25,22.6,30.0
2019-08-26,21.7,32.2
2019-08-27,25.0,39.0
2019-08-28,23.0,30.0
2019-08-29,18.7,31.0
2019-08-30,21.0,32.0
2019-08-31,20.0,31.0
2019-09-01,19.0,31.0
2019-09-02,18.0,31.0
2019-09-03,20.0,31.0
2019-09-04,17.0,30.1
2019-09-05,18.0,30.0
2019-09-06,17.0,30.0
2019-09-07,21.0,28.5
2019-09-08,21.0,31.0
2019-09-09,18.1,30.0
2019-09-10,18.0,34.0
2019-09-11,15.0,26.0
2019-09-12,17.0,27.0
2019-09-13,20.7,30.0
2019-09-14,23.7,35.0
2019-09-15,22.0,37.0
2019-09-16,23.0,30.0
2019-09-17,22.0,28.7
2019-09-18,20.5,29.1
2019-09-19,22.0,28.0
2019-09-20,22.0,29.6
2019-09-21,23.0,33.0
2019-09-22,22.0,29.0
2019-09-23,18.0,29.1
2019-09-24,17.7,28.5
2019-09-25,15.7,31.0
2019-09-26,16.1,29.2
2019-09-27,15.5,30.1
2019-09-28,16.0,29.2
2019-09-29,16.0,30.2
2019-09-30,14.7,31.0
2019-10-01,14.0,31.5
2019-10-02,17.0,29.0
2019-10-03,18.0,27.1
2019-10-04,14.0,27.7
2019-10-05,12.0,30.0
2019-10-06,12.6,28.0
2019-10-07,16.5,25.0
2019-10-08,13.2,26.0
2019-10-09,12.0,28.5
2019-10-10,12.7,28.5
2019-10-11,12.2,31.0
2019-10-12,15.2,33.0
